09420,09345,SPRUCE GROVE - NEW BRANCH,,35 - 5TH AVENUE,"SPRUCE GROVE, AB",T7X2C5
9780593669488,AAUD    ,TELL ME EVERYTHING (UNCD),"STROUT, ELIZABETH (SSHL24)",20250131,1,1,54, 0,30,37.8,37.8,AWAITING CATALOGUING,,,,,** PTO'S TO ROBIN H,
9780593672334,AAUD    ,STUART WOODS' SMOLDER (UNCD)TC,WOODS/BATTLES (SSHL24),20250131,1,1,48, 0,30,33.6,33.6,AWAITING CATALOGUING,,,,,** PTO'S TO ROBIN H,
9780593745847,AAUD    ,LOST COAST (UNCD),"KELLERMAN, JONATHAN (SSHL24)",20250131,1,1,54, 0,30,37.8,37.8,AWAITING CATALOGUING,,,,,** PTO'S TO ROBIN H,
9780593865071,AAUD    ,TOM CLANCY SHADOW STATE (UNCD),"WOODWARD, M.P. (SSHL24)",20250131,1,1,60, 0,30,42,42,AWAITING CATALOGUING,,,,,** PTO'S TO ROBIN H,
9780593910511,AAUD    ,SHELTERWOOD (UNCD),"WINGATE, LISA (SSHL24)",20250131,1,1,60, 0,30,42,42,AWAITING CATALOGUING,,,,,** PTO'S TO ROBIN H,
9780593912607,AAUD    ,COUNTING MIRACLES (UNCD),"SPARKS, NICHOLAS (SSHL24)",20250131,1,1,54, 0,30,37.8,37.8,AWAITING CATALOGUING,,,,,** PTO'S TO ROBIN H,
9780593915752,AAUD    ,STUART WOODS' GOLDEN (UNCD),"BATTLES, BRETT (FHL24)",20250131,1,1,48, 0,30,33.6,33.6,AWAITING CATALOGUING,,,,,** PTO'S TO ROBIN H,
9780593916469,AAUD    ,IN TOO DEEP (UNCD),"CHILD, LEE (FHL24)",20250131,1,1,60, 0,30,42,42,AWAITING CATALOGUING,,,,,** PTO'S TO ROBIN H,
9780593916513,AAUD    ,CHRISTMAS DUET (UNCD),"MACOMBER, DEBBIE (FHL24)",20250131,1,1,39.99, 0,30,27.99,27.99,AWAITING CATALOGUING,,,,,** PTO'S TO ROBIN H,
9780593944837,AAUD    ,CLIVE CUSSLER DESOLATION(UNCD),"BROWN, GRAHAM (FHL24)",20250131,1,1,60, 0,30,42,42,AWAITING CATALOGUING,,,,,** PTO'S TO ROBIN H,
9780593945025,AAUD    ,TOM CLANCY DEFENSE PROT (UNCD),"ANDREWS, BRIAN (FHL24)",20250131,1,1,66, 0,30,46.2,46.2,AWAITING CATALOGUING,,,,,** PTO'S TO ROBIN H,
